key,code,brand,model,type,seats,doors,accelleration,image,tag
40780,40780,Volkswagen,Tiguan,SUV,5,5,https://www.auto-data.net//images/f57/Volkswagen-Tiguan-II-facelift-2020_1.jpg,155
34602,34602,Skoda,Rapid,Hatchback,5,5,9.1 sec,https://www.auto-data.net//images/f14/skoda-rapid-spaceback-facelift-2017.jpg,156
28042,28042,Vauxhall,Insignia,Station wagon,5,5,9.5 sec,https://www.auto-data.net//images/f27/vauxhall-insignia-i-sports-tourer.jpg,159
4497,4497,Audi,S5,Coupe,4,2,5.4 sec,https://www.auto-data.net//images/f44/Audi-S5-Coupe-8T_1.jpg,161
33488,33488,Chevrolet,Camaro,Coupe,4,2,https://www.auto-data.net//images/f123/Chevrolet-Camaro-V-facelift-2013_1.jpg,162
17480,17480,Maserati,GranCabrio,Cabriolet,4,3,5.3 sec,https://www.auto-data.net//images/f24/file9402741.jpg,163
35287,35287,Honda,N-Box,MPV,4,5,https://www.auto-data.net//images/f1/Honda-N-Box-I.jpg,166
33013,33013,Kia,Rio,Sedan,5,4,https://www.auto-data.net//images/f120/Kia-Rio-IV-Sedan-YB_1.jpg,168
33248,33248,Peugeot,508,Fastback,5,5,8.4 sec,https://www.auto-data.net//images/f26/peugeot-508-ii.jpg,169
817,817,Nissan,Avenir,Station wagon,5,5,https://www.auto-data.net//images/f42/Nissan-Avenir-W11_1.jpg,170
23333,23333,Opel,Adam,Hatchback,4,3,12.5 sec,https://www.auto-data.net//images/f126/Opel-Adam_1.jpg,171
1567,1567,Alfa Romeo,Brera,Coupe,4,2,8.3 sec,https://www.auto-data.net//images/f42/Alfa-Romeo-Brera_1.jpg,172
26143,26143,Opel,Vivaro,Minivan,9,4,https://www.auto-data.net//images/f113/Opel-Vivaro-B_1.jpg,174
47356,47356,Mercedes-Benz,GLE,SUV,5,5,6.1 sec,https://www.auto-data.net//images/f84/Mercedes-Benz-GLE-SUV-V167-facelift-2023_1.jpg,175
45428,45428,Vauxhall,Astra,Station wagon,5,5,https://www.auto-data.net//images/f88/Vauxhall-Astra-Mk-VIII-Sports-Tourer_3.jpg,176
13954,13954,ZAZ,1103,Hatchback,5,5,12.5 sec,https://www.auto-data.net//images/f110/ZAZ-1103_1.jpg,178
